path,spoken_language,signed_language,start,end,words,glosses,priority
ase/later.pose,en,ase,0,0,later,LATER,0
ins/morning.pose,en,ins,0,0,morning,MORNING,0
ins/afternoon.pose,en,ins,0,0,afternoon,AFTERNOON,0
ins/evening.pose,en,ins,0,0,evening,EVENING,0
ins/night.pose,en,ins,0,0,night,NIGHT,0
ins/week.pose,en,ins,0,0,week,WEEK,0
ins/month.pose,en,ins,0,0,month,MONTH,0
ins/year.pose,en,ins,0,0,year,YEAR,0
ins/monday.pose,en,ins,0,0,monday,MONDAY,0
ins/tuesday.pose,en,ins,0,0,tuesday,TUESDAY,0
ins/wednesday.pose,en,ins,0,0,wednesday,WEDNESDAY,0
ins/thursday.pose,en,ins,0,0,thursday,THURSDAY,0
ins/friday.pose,en,ins,0,0,friday,FRIDAY,0
ins/saturday.pose,en,ins,0,0,saturday,SATURDAY,0
ins/sunday.pose,en,ins,0,0,sunday,SUNDAY,0
ins/one.pose,en,ins,0,0,one,ONE,0
ins/two.pose,en,ins,0,0,two,TWO,0
ins/three.pose,en,ins,0,0,three,THREE,0
ins/four.pose,en,ins,0,0,four,FOUR,0
ins/five.pose,en,ins,0,0,five,FIVE,0
ins/six.pose,en,ins,0,0,six,SIX,0
ase/seven.pose,en,ase,0,0,seven,SEVEN,0
ins/eight.pose,en,ins,0,0,eight,EIGHT,0
ase/nine.pose,en,ase,0,0,nine,NINE,0
ins/ten.pose,en,ins,0,0,ten,TEN,0
ins/hundred.pose,en,ins,0,0,hundred,HUNDRED,0
ins/thousand.pose,en,ins,0,0,thousand,THOUSAND,0
ins/what.pose,en,ins,0,0,what,WHAT,0
ins/where.pose,en,ins,0,0,where,WHERE,0
ins/when.pose,en,ins,0,0,when,WHEN,0
ins/who.pose,en,ins,0,0,who,WHO,0
ins/why.pose,en,ins,0,0,why,WHY,0
ins/how.pose,en,ins,0,0,how,HOW,0
ins/which.pose,en,ins,0,0,which,WHICH,0
ins/good.pose,en,ins,0,0,good,GOOD,0
ins/bad.pose,en,ins,0,0,bad,BAD,0
ins/big.pose,en,ins,0,0,big,BIG,0
ins/small.pose,en,ins,0,0,small,SMALL,0
ins/hot.pose,en,ins,0,0,hot,HOT,0
ins/cold.pose,en,ins,0,0,cold,COLD,0
ins/fast.pose,en,ins,0,0,fast,FAST,0
ins/slow.pose,en,ins,0,0,slow,SLOW,0
ins/easy.pose,en,ins,0,0,easy,EASY,0
ins/hard.pose,en,ins,0,0,hard,HARD,0
ins/new.pose,en,ins,0,0,new,NEW,0
ins/old.pose,en,ins,0,0,old,OLD,0
ins/happy.pose,en,ins,0,0,happy,HAPPY,0
ins/sad.pose,en,ins,0,0,sad,SAD,0
ins/sick.pose,en,ins,0,0,sick,SICK,0
ins/healthy.pose,en,ins,0,0,healthy,HEALTHY,0
ins/hungry.pose,en,ins,0,0,hungry,HUNGRY,0
ase/thirsty.pose,en,ase,0,0,thirsty,THIRSTY,0
ins/tired.pose,en,ins,0,0,tired,TIRED,0
ins/ready.pose,en,ins,0,0,ready,READY,0
ins/important.pose,en,ins,0,0,important,IMPORTANT,0
ins/beautiful.pose,en,ins,0,0,beautiful,BEAUTIFUL,0
ins/clean.pose,en,ins,0,0,clean,CLEAN,0
ins/dirty.pose,en,ins,0,0,dirty,DIRTY,0
ins/safe.pose,en,ins,0,0,safe,SAFE,0
ins/dangerous.pose,en,ins,0,0,dangerous,DANGEROUS,0
ins/far.pose,en,ins,0,0,far,FAR,0
ins/near.pose,en,ins,0,0,near,NEAR,0
ins/can.pose,en,ins,0,0,can,CAN,0
ins/will.pose,en,ins,0,0,will,WILL,0
ins/must.pose,en,ins,0,0,must,MUST,0
ins/should.pose,en,ins,0,0,should,SHOULD,0
ins/left.pose,en,ins,0,0,left,LEFT,0
ins/right.pose,en,ins,0,0,right,RIGHT,0
ins/up.pose,en,ins,0,0,up,UP,0
ins/down.pose,en,ins,0,0,down,DOWN,0
ins/here.pose,en,ins,0,0,here,HERE,0
ins/there.pose,en,ins,0,0,there,THERE,0
ins/inside.pose,en,ins,0,0,inside,INSIDE,0
ins/outside.pose,en,ins,0,0,outside,OUTSIDE,0
ins/red.pose,en,ins,0,0,red,RED,0
ins/blue.pose,en,ins,0,0,blue,BLUE,0
ase/green.pose,en,ase,0,0,green,GREEN,0
ins/yellow.pose,en,ins,0,0,yellow,YELLOW,0
ins/black.pose,en,ins,0,0,black,BLACK,0
ins/white.pose,en,ins,0,0,white,WHITE,0
ins/more.pose,en,ins,0,0,more,MORE,0
ase/less.pose,en,ase,0,0,less,LESS,0
ins/enough.pose,en,ins,0,0,enough,ENOUGH,0
ins/again.pose,en,ins,0,0,again,AGAIN,0
ins/together.pose,en,ins,0,0,together,TOGETHER,0
ins/alone.pose,en,ins,0,0,alone,ALONE,0
ase/always.pose,en,ase,0,0,always,ALWAYS,0
ins/never.pose,en,ins,0,0,never,NEVER,0
ins/sometimes.pose,en,ins,0,0,sometimes,SOMETIMES,0
ins/very.pose,en,ins,0,0,very,VERY,0
ins/maybe.pose,en,ins,0,0,maybe,MAYBE,0
ins/already.pose,en,ins,0,0,already,ALREADY,0
ins/still.pose,en,ins,0,0,still,STILL,0
ins/good_morning.pose,en,ins,0,0,good morning,GOOD_MORNING,0
ins/good_night.pose,en,ins,0,0,good night,GOOD_NIGHT,0
ins/good_afternoon.pose,en,ins,0,0,good afternoon,GOOD_AFTERNOON,0
ins/how_are_you.pose,en,ins,0,0,how are you,HOW_ARE_YOU,0
ins/nice_to_meet_you.pose,en,ins,0,0,nice to meet you,NICE_TO_MEET_YOU,0
ase/meet.pose,en,ase,0,0,meet,MEET,0
ins/try.pose,en,ins,0,0,try,TRY,0
ase/show.pose,en,ase,0,0,show,SHOW,0
ins/put.pose,en,ins,0,0,put,PUT,0
ins/keep.pose,en,ins,0,0,keep,KEEP,0
ins/send.pose,en,ins,0,0,send,SEND,0
ase/receive.pose,en,ase,0,0,receive,RECEIVE,0
ins/return.pose,en,ins,0,0,return,RETURN,0
ins/leave.pose,en,ins,0,0,leave,LEAVE,0
ins/arrive.pose,en,ins,0,0,arrive,ARRIVE,0
ins/stay.pose,en,ins,0,0,stay,STAY,0
ins/move.pose,en,ins,0,0,move,MOVE,0
ins/change.pose,en,ins,0,0,change,CHANGE,0
ins/check.pose,en,ins,0,0,check,CHECK,0
ins/remember.pose,en,ins,0,0,remember,REMEMBER,0
ins/forget.pose,en,ins,0,0,forget,FORGET,0
ase/understand.pose,en,ase,0,0,understand,UNDERSTAND,0
ins/agree.pose,en,ins,0,0,agree,AGREE,0
ase/disagree.pose,en,ase,0,0,disagree,DISAGREE,0
ins/choose.pose,en,ins,0,0,choose,CHOOSE,0
ins/decide.pose,en,ins,0,0,decide,DECIDE,0
ase/allow.pose,en,ase,0,0,allow,ALLOW,0
